City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Iquique,CL,-20.2208,-70.1431,69.84,68,0,8.34,clear sky
115,Namatanai,PG,-3.6667,152.4333,78.4,85,100,1.59,light rain
116,Hobart,AU,-42.8794,147.3294,57.06,92,100,6.91,overcast clouds
117,Georgetown,MY,5.4112,100.3354,78.73,93,20,3.44,few clouds
118,Villaviciosa De Odon,ES,40.3569,-3.9001,52.65,29,20,13.8,few clouds
119,Scarborough,GB,54.2797,-0.4044,47.77,68,99,5.99,overcast clouds
120,Pemangkat,ID,1.1667,108.9667,78.26,84,87,2.24,overcast clouds
121,Fairbanks,US,64.8378,-147.7164,14.81,76,0,0.0,clear sky
122,Padang,ID,-0.9492,100.3543,76.64,86,46,3.78,scattered clouds
123,Bodden Town,KY,19.2833,-81.25,86.0,70,75,12.66,broken clouds
124,Langsa,ID,4.4683,97.9683,73.6,96,100,3.4,light rain
125,Dudinka,RU,69.4058,86.1778,-11.25,100,76,5.73,broken clouds
126,Westport,US,41.1415,-73.3579,44.58,92,100,5.75,moderate rain
127,Atar,MR,20.5169,-13.0499,87.33,9,0,18.95,clear sky
128,Fasa,IR,28.9383,53.6482,61.84,23,0,0.0,clear sky
129,Komsomolskiy,UZ,40.4272,71.7189,61.52,55,21,4.61,few clouds
130,Kruisfontein,ZA,-34.0033,24.7314,63.88,80,87,2.01,overcast clouds
131,Panzhihua,CN,26.5851,101.7128,63.73,56,85,1.01,overcast clouds
132,Conde,BR,-7.2597,-34.9075,83.66,74,75,11.5,broken clouds
133,Casablanca,MA,33.5928,-7.6192,66.42,59,20,9.22,few clouds
134,Praia,CV,14.9215,-23.5087,75.74,57,20,12.66,few clouds
135,Faanui,PF,-16.4833,-151.75,81.18,77,14,8.9,few clouds
136,Upata,VE,8.0086,-62.3989,84.13,53,93,5.35,overcast clouds
137,Athabasca,CA,54.7169,-113.2854,41.41,66,47,11.68,scattered clouds
138,Biskamzha,RU,53.4497,89.5272,35.22,98,100,7.29,light snow
139,Seoni,IN,22.0833,79.5333,85.68,12,0,1.34,clear sky
140,Jalu,LY,29.0331,21.5482,83.16,11,0,10.96,clear sky
141,Bethel,US,41.3712,-73.414,43.68,86,100,6.91,light rain
142,Sambava,MG,-14.2667,50.1667,78.42,88,71,14.29,light rain
143,Wum,CM,6.3833,10.0667,78.39,44,100,2.35,overcast clouds
144,Tiksi,RU,71.6872,128.8694,4.93,98,100,8.05,overcast clouds
145,Prince Rupert,CA,54.3161,-130.3201,41.09,75,75,25.32,light rain
146,Newport,GB,51.5877,-2.9984,49.44,64,94,1.01,overcast clouds
147,Kodino,RU,63.7198,39.6447,13.91,93,78,0.74,broken clouds
148,Nalut,LY,30.3333,10.85,76.82,9,0,3.24,clear sky
149,Bubaque,GW,11.2833,-15.8333,75.13,74,100,21.0,overcast clouds
150,Maldonado,UY,-34.6667,-54.9167,76.39,48,97,11.88,overcast clouds
151,Waingapu,ID,-9.6567,120.2641,76.66,82,69,2.66,broken clouds
152,Kavieng,PG,-2.5744,150.7967,81.01,78,96,5.55,light rain
153,Hualmay,PE,-11.0964,-77.6139,74.46,72,22,10.11,few clouds
154,Bremerton,US,47.5673,-122.6326,52.92,76,90,3.0,light rain
155,Kaliua,TZ,-5.0606,31.7936,72.88,66,76,0.6,broken clouds
156,Baculin,PH,7.4525,126.5842,76.46,84,73,7.7,broken clouds
157,Cabo San Lucas,MX,22.8909,-109.9124,79.9,50,5,5.01,clear sky
158,Road Town,VG,18.4167,-64.6167,84.24,58,20,11.5,few clouds
159,Chernyshevskiy,RU,63.0128,112.4714,6.98,98,98,4.41,overcast clouds
160,Shenjiamen,CN,29.9576,122.298,50.13,65,4,6.04,clear sky
161,Stara Vyzhivka,UA,51.4376,24.44,26.1,89,94,8.39,overcast clouds
162,Lavrentiya,RU,65.5833,-171.0,-12.23,92,33,10.33,scattered clouds
163,Tessalit,ML,20.1986,1.0114,95.07,7,1,4.97,clear sky
164,Najran,SA,17.4924,44.1277,77.65,12,2,4.79,clear sky
165,Kamiiso,JP,41.8167,140.65,33.1,80,1,2.55,clear sky
166,Narsaq,GL,60.9167,-46.05,43.02,71,99,2.59,overcast clouds
167,Fort Nelson,CA,58.8053,-122.7002,18.99,73,75,0.0,broken clouds
168,Yar-Sale,RU,66.8333,70.8333,6.85,94,55,8.97,broken clouds
169,Vardo,NO,70.3705,31.1107,26.58,93,75,10.36,snow
170,Dunedin,NZ,-45.8742,170.5036,56.8,75,56,1.99,broken clouds
171,Banikoara,BJ,11.2985,2.4386,97.93,16,44,3.62,scattered clouds
172,Menongue,AO,-14.6585,17.691,64.09,95,62,5.26,light rain
173,Mildura,AU,-34.2,142.15,55.36,76,3,3.44,clear sky
174,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,72,12,16.98,few clouds
175,Kongoussi,BF,13.3258,-1.5347,101.59,14,29,3.8,scattered clouds
176,Torbay,CA,47.6666,-52.7314,41.4,76,100,28.77,overcast clouds
177,Klaksvik,FO,62.2266,-6.589,47.32,98,100,18.66,overcast clouds
178,Samarai,PG,-10.6167,150.6667,80.71,76,96,9.4,overcast clouds
179,Grindavik,IS,63.8424,-22.4338,42.75,93,75,19.57,broken clouds
180,Ilulissat,GL,69.2167,-51.1,28.42,80,75,3.44,broken clouds
181,Kenai,US,60.5544,-151.2583,33.15,81,0,5.75,clear sky
182,Santa Cruz,BO,-17.8,-63.1667,84.25,51,20,20.71,few clouds
183,Porto Novo,BJ,6.4965,2.6036,87.62,78,81,11.81,broken clouds
184,Ancud,CL,-41.8697,-73.8203,52.23,60,62,10.22,broken clouds
