City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Cap Malheureux,MU,78.48,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
322,Paka,MY,78.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
328,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
330,Mehran,IR,84.52,overcast clouds,33.1222,46.1646,بوتیک زنانه بهار
332,Avera,US,72.55,clear sky,33.194,-82.5271,
335,Matara,LK,77.86,clear sky,5.9485,80.5353,Amaloh Boutique Resort
337,Madimba,TZ,78.73,scattered clouds,-10.4,40.3333,
338,Vanimo,PG,78.06,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
340,Gazanjyk,TM,79.83,clear sky,39.2446,55.5154,Railway motel
341,Lakatoro,VU,77.7,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
342,Bartica,GY,84.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
343,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
345,Ranong,TH,76.33,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
346,Karonga,MW,75.72,broken clouds,-9.9333,33.9333,Sumuka Inn
349,Nautla,MX,81.37,overcast clouds,20.2167,-96.7833,Casa Blanca
352,Pangkalanbuun,ID,73.45,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
354,Brokopondo,SR,82.71,overcast clouds,4.75,-55.1667,Matu Island
355,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
359,Laguna,US,74.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
360,San Luis,AR,65.46,clear sky,-33.295,-66.3356,Huarpes Hotel
361,Quatre Cocos,MU,78.91,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
367,Koumac,NC,79.68,overcast clouds,-20.5667,164.2833,Le Monitel
368,Buchanan,LR,81.7,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
371,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
376,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
379,Netrakona,BD,73.92,clear sky,24.8833,90.7167,kurpar gas office
380,Anisoc,GQ,71.64,heavy intensity rain,1.8658,10.7689,
382,Teknaf,BD,77.23,few clouds,20.8624,92.3058,Forestry Guesthouse
384,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
385,Kamina,CD,66.42,moderate rain,-8.7386,24.9906,Guest House Florvia
388,Capinzal,BR,82.04,overcast clouds,-27.3436,-51.6119,Hotel Baiolim
390,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
393,Rio Grande,BR,69.91,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
395,Chabahar,IR,78.75,few clouds,25.2919,60.643,هتل گدروشیا
396,Eyl,SO,79.43,few clouds,7.9803,49.8164,Amiin Hotel
400,Pathein,MM,77.77,broken clouds,16.7833,94.7333,Pathein Hotel
401,Thinadhoo,MV,83.28,scattered clouds,0.5333,72.9333,
403,Boa Vista,BR,80.58,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
406,Kupang,ID,76.12,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
407,Nhamunda,BR,78.6,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
413,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
416,Kutum,SD,82.4,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
417,Belmonte,BR,83.66,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
418,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
419,Maragogi,BR,82.38,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
422,Mumford,GH,82.87,light rain,5.2618,-0.759,Spanish Villa
423,Maningrida,AU,77.14,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
429,Inirida,CO,82.87,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
430,Katobu,ID,73.74,scattered clouds,-4.9408,122.5276,La Ode Husein
432,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
435,Vicente Guerrero,MX,75.65,broken clouds,19.1194,-98.1708,Instituto De Seguridad Y Servicios Sociales De Los Trabajadores Del Estado
440,Duki,PK,72.5,few clouds,30.1541,68.5728,Bhari Dada Kaka Hotel
443,Caravelas,BR,83.79,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
446,Alofi,NU,67.89,broken clouds,-19.0595,-169.9187,Taloa Heights
448,Nansio,TZ,77.2,broken clouds,-2.1333,33.05,New BJ Hotel
449,Porto Belo,BR,76.68,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
451,Le Moule,GP,84.24,clear sky,16.3332,-61.3473,Lakaz Hananou
453,Nokaneng,BW,75.15,light rain,-19.6667,22.2667,
454,Zhuhai,CN,65.91,clear sky,22.2769,113.5678,珠海粤财假日酒店
459,Inhambane,MZ,77.83,clear sky,-23.865,35.3833,Oceano
462,Lorengau,PG,79.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
464,Ormara,PK,77.83,clear sky,25.2088,64.6357,Kenara Colony house for Rent
465,Kanniyakumari,IN,82.08,few clouds,8.0833,77.5667,Sparsa Kanyakumari
466,Dwarka,IN,78.93,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
467,Roebourne,AU,81.63,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
468,Kensington,AU,65.12,clear sky,-33.9167,151.2167,Meriton Suites Zetland
471,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
472,Palembang,ID,78.89,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
473,La Asuncion,VE,73.13,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
474,San Buenaventura,MX,84.47,scattered clouds,27.0833,-101.5333,Hotel Gran Plaza
475,Cayenne,GF,84.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
480,Sembakung,ID,73.9,overcast clouds,3.8167,117.25,
481,Kralendijk,BQ,78.66,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
487,Aden,YE,82.71,clear sky,12.7794,45.0367,Sama Emirate Hotel
492,Saint-Raphael,HT,78.17,clear sky,19.4333,-72.2,Adouly Hôtel
493,Hit,IQ,81.03,overcast clouds,33.6416,42.8251,بيت ابو رباح
497,Acapulco,MX,84.38,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
499,Mbigou,GA,70.21,moderate rain,-1.9005,11.906,
504,Phan Thiet,VN,77.72,overcast clouds,10.9333,108.1,Hotel Saigon-PT
505,Kudahuvadhoo,MV,83.26,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
506,Manono,CD,71.56,overcast clouds,-7.3,27.4167,Hotel hewa bora
508,Marrakesh,MA,66.27,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
509,Huarmey,PE,75.36,broken clouds,-10.0681,-78.1522,Hotel Miramar
512,Simbahan,PH,80.76,broken clouds,6.3032,120.5836,
519,Zahesi,GE,69.51,overcast clouds,41.8246,44.7536,Sanapiro
520,Bam,IR,78.31,broken clouds,29.106,58.357,Bam Tourist Hotel
523,Catamarca,AR,84.58,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
526,Zvishavane,ZW,72.41,overcast clouds,-20.3267,30.0665,Hotel Boutique Runde
530,Muli,MV,83.23,clear sky,2.9167,73.5667,Medhufushi Island Resort
531,Buala,SB,77.41,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
533,Umm Lajj,SA,82.11,overcast clouds,25.0213,37.2685,Moon light Furnished Units
534,Libenge,CD,72.23,moderate rain,3.65,18.6333,
535,Kununurra,AU,67.98,few clouds,-15.7667,128.7333,Hotel Kununurra
540,Banda Aceh,ID,77.59,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
541,Chone,EC,82.44,moderate rain,-0.6833,-80.1,Ciudadela Gonzalez
542,Puerto Narino,CO,82.29,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
545,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
546,Kafue,ZM,66.54,few clouds,-15.7691,28.1814,Purview Lodges Ltd
549,Sagaing,MM,83.53,scattered clouds,21.8787,95.9797,Makara Cruise
550,Kiunga,PG,73.71,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
552,Harper,LR,82.09,broken clouds,4.375,-7.7169,Screensaver
